AS12941,intersaar GmbH
AS12969,Ljósleiðarinn ehf (Sýn)
AS13009,Redcentric Solutions Ltd
AS13030,Init7 (Switzerland) Ltd.
AS13045,htp GmbH
AS13046,Hrvatski Telekom d.d.
AS13054,badenIT GmbH
AS13058,serve-u - Buchholz und Sünderhauf GbR
AS13101,TNG Stadtnetz GmbH
AS13170,Kaisanet Oy
AS13194,"UAB """"Bite Lietuva"""""
AS13347,Midwest Cable
AS13370,Ziply Fiber (LocalTel)
AS13451,Ziply Fiber (Saddle Mountain Wireless)
AS13781,Hopkinsville Electric System
AS13807,Great Plains Communications LLC
AS13977,Fidium
AS14131,DataYard
AS14333,"""On-Ramp Indiana", Inc. (ORI.NET)"
AS14371,Paul Bunyan Communications
AS14593,SpaceX Starlink
AS14749,Russellville Electric Plant Board
AS14840,BR.DIGITAL
AS14868,Ligga Telecomunicações S.A.
AS14979,Aeronet Wireless
AS15081,Omni Fiber
AS15366,DNS:NET Internet Service GmbH
AS15440,"UAB """"Baltnetos komunikacijos"""""
AS15541,Marcin Bochenek trading as CETI s.c.
AS15605,Connesi S.p.A.
AS15695,Expereo International BV
AS15723,"""""AZERONLINE LTD"""" JOINT ENTERPRISE"
AS15808,NTT DATA (Dimension Data)
AS15836,Arax-Impex s.r.l.
AS15924,Vodafone Turkey
AS15925,Occino GmbH
AS15943,wilhelm.tel GmbH
AS16024,GELSEN-NET Kommunikationsgesellschaft mbH
AS16082,Spitfire Network Services Limited
AS16086,DNA Oyj
AS16097,HL komm Telekommunikations GmbH
AS16202,Tele Columbus AG (Pÿur / Pyur)
AS16205,DSI GmbH Daten Service Informationssysteme
AS16302,Suomi Communications Oy
AS16353,Merula Limited
AS16391,Celito Communications Inc.
AS16637,MTN SA (Bayobab)
AS16735,Algar Telecom
AS16814,NSS S.A.
AS17439,NTT Communications India Pvt. Ltd.
AS17451,Biznet Networks
AS17465,Asianet Broadband
AS17506,ARTERIA Networks Corporation
AS17511,OPTAGE Inc.
AS17538,PT Circlecom Nusantara Indonesia
AS17547,M1 NET LTD
AS17557,Pakistan Telecommunication Company Limited
AS17621,China Unicom Shanghai network
AS17622,China Unicom Guangdong Province Network
AS17623,China Unicom Shenzhen network
AS17635,GoldNet Pty Ltd
AS17639,Converge ICT Solutions Inc.
AS17670,PT MNC Kabel Mediacom
AS17676,SoftBank Corp.
AS17727,PT NAP Info Lintas Nusa
AS17769,PT Indo Pratama Teleglobal
AS17806,Mango Teleservices
AS17809,VEE TIME CORP.
AS17816,China Unicom IP network China169 Guangdong province
AS17884,PT Uninet Media Sakti
AS17924,SmarTone Mobile Communications Ltd
AS17961,"""mitene internet co.", ltd."
AS17962,ShenZhen Topway Video Communication Co. Ltd
AS17996,PT Global Prima Utama
AS18056,PT Mithaharum Abadi
AS18059,PT Dwi Tunggal Putra
AS18103,PT Prestasi Piranti Informasi
AS18106,Viewqwest Pte Ltd
AS18187,Ignite Telecommunications Inc
AS18233,Philippine Telegraph & Telephone Corporation
AS18245,"""Beijing Founder Broadband Network Technology Co.",Ltd"
AS18390,Spintel Pty Ltd
AS18393,PT Java Online
AS18734,"""Operbes", S.A. de C.V."
AS18914,ETS TELECOM
AS19009,Everstream Solutions LLC
AS19366,Fibertown Data Centers
AS19381,"""Simply Bits", LLC"
AS19504,"""WTC Communications", Inc."
AS20055,Ziply Fiber (fka Wholesail)
AS20115,Charter Communications LLC
AS20318,"""Niacom Holdings", LLC"
AS20634,Telecom Liechtenstein AG
AS20676,Plusnet GmbH
AS20712,Andrews & Arnold Ltd
AS20879,Digi Portugal
AS20904,Cinia Oy (fka. Netplaza)
AS20910,Bite Latvia (Baltcom)
AS20912,Panservice s.a.s. di Cuseo Fabrizio & C.
AS20928,The Noor Group
AS20963,Nema (fka vodafone.fo)
AS21263,TeleData GmbH
AS21348,Lounea (ex. Etelä-Satakunnan Puhelin)
AS21413,Envia Tel GmbH
AS21473,PFALZKOM GmbH
AS21789,"""Lowe's Companies", Inc."
AS21826,Corporación Telemic C.A. (Inter)
AS21949,Beanfield Technologies Inc.
AS22060,Netspectrum Wireless Internet Solutions
AS22070,"""Blue Ridge Websoft", LLC"
AS22322,Cable Co-op Inc
AS22652,Videotron Ltee
AS23031,TELECU TELECOMUNICACIONES DEL ECUADOR TELECUSA S.A.S.
AS23114,Critical Hub Networks
AS23473,PAVLOV MEDIA INC
AS23497,"""North Coast Wireless Communications", LLC"
AS23520,"""Columbus Networks USA", Inc."
AS23655,2degrees Networks Limited
AS23671,PT Sarana Insan Muda Selaras
AS23679,PT Media Antar Nusa
AS23695,PT Elga Yasa Media
AS23700,PT Link Net Tbk
AS23750,GERRYS INFORMATION TECHNOLOGY PVT LTD.
AS23756,PT Padi Internet
AS23860,Alliance Broadband Services Pvt. Ltd.
AS23944,SKY Cable Corporation
AS23947,PT Mora Telematika Indonesia Tbk
AS23951,PT Jembatan Citra Nusantara
AS23953,PT Artha Telekomindo
AS24200,PT Cakramedia Indocyber
AS24202,PT Pasifiktel Indotama
AS24203,PT XL Axiata Tbk
AS24204,PT Satnetcom Balikpapan
AS24209,PT Inter Media Lintas Nusa
AS24211,PT Detik Ini Juga
AS24213,PT Arsen Kusuma Indonesia
AS24309,Atria Convergence Technologies
AS24400,"""Shanghai Mobile Communications Co.",Ltd."
AS24445,"""Henan Mobile Communications Co.",Ltd"
AS24516,Virtutel Pty Ltd
AS24521,PT Data Utama Dinamika
AS24523,PT Orion Cyber Internet
AS24525,PT Solusi Aksesindo Pratama
AS24527,PT Hanasta Dakara
AS24529,PT Infotama Lintas Global
AS24530,PT Power Telecom
AS24532,PT Inet Global Indo
