AS10921,Commonwealth of KentuckyDepartment of Information Systems
AS10944,Association of Bay Area Governments
AS10954,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO
AS11097,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA
AS11205,City of Philadelphia
AS11361,"""Boscov's Department Store", LLC"
AS11394,City of Richardson
AS11577,Vermont Agency of Digital Services
AS11687,City of Hope Medical Center
AS11708,"""City of North Kansas City", MO"
AS11956,National Oceanic and Atmospheric Administration
AS11974,US Department of State
AS12051,City of Escondido
AS12102,City of Portland
AS12156,City of Aurora Colorado
AS12191,City of Lebanon - Lebanon Utilities
AS12253,Leon County Board of County Commisioners
AS12303,Magyarorszagi Internet Szolgaltatok Tanacsa Tudomanyo...
AS12376,Ministry of finance
AS12443,Riga City Council Finance Department
AS12509,Bank of Latvia
AS12511,Die Schweizerische Post AG
AS12564,Council of Ministers
AS12782,Uppsala Läns Landsting
AS13011,RA Monitorul Oficial
AS13029,Autonomous institution Center of Information Technolo...
AS13223,Council Of Europe
AS13325,Michigan State Government
AS13456,City of Spokane
AS13470,NAVAJO COUNTY
AS13506,United States Department of the Treasury
AS13543,City of Cookeville
AS13611,U.S. Center For Disease Control and Prevention
AS13781,Hopkinsville Electric System
AS13788,US Courts
AS13855,The Municipal Communications Utility of the City of C...
AS13918,City of Tucson
AS13972,"""Wadsworth Center", NYS Department of Health"
AS14072,Government of the District of Columbia
AS14223,New York State Department of Health
AS14242,City of Chandler
AS14263,South Dakota State Government
AS14303,City of Memphis
AS14308,City of Longmont
AS14488,City of Williamstown
AS14677,City of Tacoma
AS14734,Northeast Ohio Network for Educational Technology
AS14736,City of Kansas City Missouri
AS14808,ERR_AS_NAME_NOT_FOUND
AS14827,Washington State Department of Transportation
AS14877,"""FirstLight Fiber", Inc."
AS14977,State of Wyoming Department A&I
AS14983,Law School Admission Council
AS15029,U.S. Department of Health & Human Services
AS15130,U. S. Department of Justice
AS15147,DEPARTMENT OF HOMELAND SECURITY
AS15196,Maryland Department of Transportation
AS15205,Nassau County Police Department
AS15304,Washoe County
AS15383,Paradigm
AS15386,Lamis Ukraine LLC
AS15419,"SC """"Lithuanian Radio and TV Center"""""
AS15770,Durham County Council
AS15806,Irish Government
AS16060,Kuwait Ministry of Finance
AS16426,City of Columbus
AS16502,City of Phoenix
AS16569,City of Calgary
AS16697,"""City of Columbia", MO"
AS16700,CNSNext
AS16701,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS(AFIP)
AS16741,City Of Lakeland
AS16796,MERLIN
AS16986,City of Santa Monica
AS17120,New Brunswick Department of Education and Early Child...
AS17147,Ministerio del Interior y de Seguridad Publica - Gobi...
AS17297,CITY OF CARROLLTON - TEXAS
AS17365,City of Fresno
AS17485,"""Trade and Industry Department", the Government of the ..."
AS17494,Bangladesh Telegraph & Telephone Board
AS17574,Seoul Metropolitan Government Computer Center
AS17793,Leisure and Cultural Services Department
AS18055,Department of Human Services
AS18125,"""Ministry of Agriculture", Forestry and Fisheries Resea..."
AS18183,National Center for Research on Earthquake Engineering
AS18220,Australian Defence Organisation
AS18242,"""Chengdu Information Harbor Co.", Ltd"
AS18255,Brisbane City Council
AS18431,Department of Foreign Affairs and Trade
AS18440,"""National Council on Compensation Insurance", Inc."
AS18482,City of Raleigh
AS18558,Riverside County Office of Education
AS18614,Yakima County
AS18760,City of Rancho Cucamonga
AS18777,Texas State University
AS18847,Randolph County Government of NC
AS18889,City of Ruston
AS19014,NORCOM
AS19050,U.S. Department of Health & Human Services
AS19076,Weld County Government
AS19179,City of El Paso
AS19185,City of Mesa
AS19307,Water Works & Sanitary Sewer Board of the City of Mon...
AS19323,Holyoke Gas & Electric Department
AS19329,Martin County Board of County Commissioners
AS19348,City of Brentwood
AS19399,Region Stockholm
AS19426,Harris County ESD 11 Mobile Healthcare
AS19534,Lee County Tax Collector
AS19589,City Of Leesburg
AS19723,CIA. DE TECNOL. DA INFOR. E COMUNICAÇÃO DO PARANÁ
AS19725,City Of Houston - Public Works
AS19779,St. George Fire Department
AS19827,City of Carson City
AS19902,Department of Administrative Services
AS19904,City of Longview
AS20009,The City of Wadsworth
AS20047,"""City of Virginia Beach", Virginia"
AS20091,"""City of Martinsville", VA"
AS20097,City of Tulsa
AS20116,CAIXA ECONOMICA FEDERAL
AS20336,New York State Department of Transportation
AS20372,Office of Management and Budget
AS20548,Parliament of Latvia
AS20661,State Company of Electro Communications Turkmentelecom
AS20702,JSC Russian Railways
AS20820,JUDETUL DAMBOVITA
AS20905,Banco de Espana
AS20929,Ministerul Finanțelor Publice
AS20950,"""Regional Informational Computer Center", Rovnen region..."
AS21002,Ministry of Finance of Saudi Arabia
AS21096,The State Cyber Protection Center of the State Servic...
AS21325,Tiesu Namu Agentura SIA
AS21449,Etat de Genève (Canton of Geneva)
AS21489,The North Atlantic Treaty Organization
AS21564,Nova Scotia Provincial Government
AS21589,City of San Jose
AS21633,U.S. Department of the Interior
AS21669,New Jersey State Library
AS21694,Fresno County Office of Education
AS21696,City of Murphy
AS21843,City of Buffalo
AS21852,"""State Of Arkansas", Division of Information Systems"
AS22066,City of Eau Claire
AS22073,City of Glendale
AS22088,City of Edmonds
AS22252,The City of New York
