AS24835,Vodafone Egypt
AS24921,Latvijas Mobilais Telefons SIA
AS25106,Mobile TeleSystems JLLC
AS25135,Vodafone Limited
AS25311,DIGI Belgium
AS27699,TELEFÔNICA BRASIL S.A
AS27725,"""Empresa de Telecomunicaciones de Cuba", S.A."
AS27800,Digicel Trinidad and Tobago Ltd.
AS27889,Telecomunicaciones MOVILNET
AS27995,Claro Chile S.A.
AS28005,ERR_AS_NAME_NOT_FOUND
AS28403,"""RadioMovil Dipsa", S.A. de C.V."
AS28469,AT&T COMUNICACIONES DIGITALES S DE RL
AS28683,SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES
AS29256,Syrian Telecommunication Private Closed Joint Stock Company
AS29447,Iliad Italia S.p.A
AS29465,MTN NIGERIA Communication limited
AS29975,Vodacom
AS30689,FLOW
AS30722,Vodafone Italia S.p.A.
AS30967,TP Global Operations Limited
AS30999,Emtel
AS31133,MegaFon PJSC
AS31204,ORANGE MOLDOVA S.A.
AS31404,LYCATEL DISTRIBUTION UK LIMITED
AS31615,Odido Netherlands B.V.
AS31655,Gamma Telecom Holdings Ltd
AS31721,Azercell Telecom
AS33576,Digicel Jamaica
AS33801,Boldyn Networks Finland Holdings Oy
AS34058,"Limited Liability Company """"lifecell"""""
AS35228,o2 (Telefonica UK)
AS35691,Plan Communications Ltd
AS35819,"""Etihad Etisalat", a joint stock company"
AS35900,Digicel Barbados Ltd
AS36511,Dauphin Telecom Guadeloupe
AS36866,Jamii Telecommunications Limited
AS36890,MTN Rwandacell
AS36908,Vodacom Tanzania Ltd
AS36912,Orange Cameroun SA
AS36925,Orange Maroc
AS36958,Cable & Wireless (Seychelles) Ltd
AS36962,MTN Zambia
AS36972,MTN SUDAN
AS36994,Vodacom
AS37002,Reunicable SAS
AS37037,Orange Madagascar
AS37054,Telecom Malagasy
AS37075,Airtel Uganda Limited
AS37094,"""Orange Liberia", INC"
AS37105,RAIN GROUP HOLDINGS (PTY) LTD
AS37119,UNITEL SA
AS37133,Airtel Tanzania
AS37164,Orange (SL) Limited
AS37168,Cell C (Pty) Ltd
AS37287,Zain Zambia PLC
AS37492,Orange Tunisie
AS37517,CV  Multimedia SA
AS37611,Afrihost (Pty) Ltd
AS37693,OOREDOO TUNISIE SA
AS38266,Vodafone Idea (Vodafone India)
AS38466,U Mobile Sdn Bhd
AS38565,Ncell Pvt. Ltd.
AS38623,Metfone (Viettel Cambodia)
AS38742,Afghan Wireless Communication Company
AS38819,HKCSL GPRS NETWORK
AS39891,Saudi Telecom Company JSC
AS39944,Telecom North America Inc.
AS41738,Cellfie Mobile LLC
AS42863,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
AS42912,Zain Jordan
AS42961,Zain Kuwait MTC
AS43733,Viva Armenia CJSC
AS43766,Zain Saudi Arabia
AS43925,MOLDCELL S.A.
AS44034,Hi3G Access AB
AS44087,"""""BeST"""" CJSC"
AS44143,A1 Srbija d.o.o.
AS44395,Ucom CJSC
AS44735,Nova hf
AS45143,SINGTEL MOBILE INTERNET SERVICE PROVIDER Singapore
AS45245,Banglalink Digital Communications Ltd
AS45356,Mobitel Pvt Ltd
AS45498,"""SMART AXIATA Co.", Ltd."
AS45727,PT Hutchison CP Telecommunications
AS45899,VNPT Corp
AS45925,ASN For Teletalk Bangladesh Ltd.
AS45960,YTL COMMUNICATIONS SDN BHD
AS47377,Orange Belgium SA
AS47589,VIVA Kuwait (STC)
AS48092,T2 Mobile LLC
AS48728,Vodafone Qatar P.Q.S.C
AS51207,Free Mobile SAS
AS51375,STC BAHRAIN B.S.C CLOSED
AS51684,ASIACELL COMMUNICATIONS PJSC
AS51896,Hringdu ehf
AS55699,PT Cemerlang Multimedia
AS55805,MobiCom Corporation
AS55836,Reliance Jio Infocomm Limited
AS56040,China Mobile Group GuangDong Company
AS56041,China Mobile Group Zhejiang Company
AS56042,China Mobile Group Shanxi Company
AS56044,China Mobile Group Liaoning Company
AS56046,China Mobile Jiangsu Province Network
AS56047,China Mobile Group Hunan Company
AS56048,China Mobile Group Beijing Company
AS56665,Proximus Luxembourg S.A.
AS57279,Sauron CZ s.r.o.
AS58075,X2com BV
AS59588,Zain Iraq
AS62442,Dade Samane Fanava Company (PJS)
AS132045,Dialog Axiata Plc
AS132199,Globe Telecom Inc.
AS132618,Real Future Company Limited
AS133612,Vodafone Australia Pty Ltd
AS133798,PT Smartfren Telecom Tbk
AS134810,China Mobile Group JiLin communications corporation
AS136167,CHINA TELECOM (MACAU) COMPANY LIMITED
AS136255,Mytel Myanmar
AS138169,China Telecom Guangxi Province Mobile Data Network
AS138384,"""Rakuten Mobile Network", Inc."
AS139831,DITO TELECOMMUNITY CORP.
AS139994,PT XL Axiata Tbk
AS140726,China Unicom AnHui Province Network
AS197207,Hamrahe Avval (Mobile Communication Company of Iran)
AS199095,Citymesh Integrator NV
AS200845,"""AVATEL TELECOM", SA"
AS201767,"""""Uzbektelekom"""" Joint Stock Company"
AS201776,Miranda-Media Ltd
AS202441,mts D.O.O
AS202498,T-MOB LLC
AS205638,"""""TBANK"""" JSC"
AS205820,Unitary enterprise A1
AS206067,Hutchison 3G UK Limited
AS210595,Free SAS (Caribbean)
AS263175,GUYACOM
AS264645,NEW MILLENNIUM TELECOM SERVICES N.V.
AS264731,Corporacion Digitel C.A.
AS265540,"""ALTAN REDES", S.A.P.I. de C. V."
AS327708,Airtel Rwanda Ltd
AS327756,AIRTEL TCHAD
AS327765,Swazi MTN Ltd
AS327799,VIETTEL BURUNDI SA
AS327802,MILLICOM CHAD SA
AS327931,Optimum Telecom Algeria
AS328169,Swazi Mobile Limited
AS328286,Libyana Mobile Phone Company JSC
AS328959,SO! Limited
AS393559,"""WEBBING USA", INC."
AS398378,Boost Mobile
