AS2845,Lund University
AS2846,Lund University
AS2847,Lithuanian Research and Education Network
AS2848,Federal State Budgetary Educational Institution of Hi...
AS2850,University College Dublin
AS2852,CESNET z.s.p.o.
AS2857,Johannes Gutenberg-Universitaet Mainz
AS2900,Arizona Tri University Network
AS2902,University of Wyoming
AS2904,Universidad Autonoma De Ciudad Juarez
AS2907,Science Information Network
AS3128,University of Wisconsin System
AS3140,The Thomas Jefferson High School for Science and Tech.
AS3141,Benemerita Universidad Autonoma de Puebla
AS3208,Algerian Academic Research Network
AS3221,Estonian Education and Research Network
AS3240,Styrelsen for It og Læring
AS3241,Institute of Electronics and Computer Science
AS3255,Ukrainian Academic and Research Network
AS3264,American University in Bulgaria
AS3267,SCIENTIFIC RESEARCH INSTITUTE FOR SYSTEM ANALYSIS OF ...
AS3268,University of Cyprus
AS3323,National Technical University of Athens
AS3325,Kazan Federal University
AS3354,University of Texas System
AS3359,University of Alberta
AS3363,Hong Kong University of Science and Technology
AS3382,University of Indonesia
AS3388,University of New Mexico
AS3390,University of Missouri - Kansas City
AS3449,Universidad Nacional de Buenos Aires
AS3450,University of Tennessee
AS3452,University of Alabama at Birmingham
AS3454,Universidad Autonoma de Nuevo Leon
AS3464,Alabama Supercomputer Authority
AS3479,Board of Regents of the University System of Georgia
AS3480,Board of Regents of the University System of Georgia
AS3484,Instituto Politecnico Nacional
AS3512,Emory University
AS3550,"""Philippine Network Foundation", Inc (PHNet)"
AS3551,Universidad Tecnologica de Panama
AS3582,University of Oregon
AS3586,University of the West Indies
AS3596,Universidad Autonoma Metropolitana
AS3603,University de Los Andes
AS3634,Stephen F. Austin State University
AS3640,C I C E S E
AS3659,Claremont University Consortium
AS3661,The Chinese University of Hong Kong
AS3662,Joint Universities Computer Centre Limited
AS3676,University of Iowa
AS3677,University of Iowa
AS3681,Florida International University
AS3685,State University of New York at Buffalo
AS3701,Link Oregon (University of Oregon)
AS3778,Temple University
AS3782,Swarthmore College
AS3783,Allegheny Intermediate Unit
AS3784,Pohang University of Science and Technology
AS3794,Texas A&M University
AS3807,University of Montana
AS3813,Sogang University
AS3839,Chulalongkorn University
AS3912,CHECS
AS3935,Eastern Washington University
AS3999,The Pennsylvania State University
AS4130,University of Pittsburgh
AS4158,City University of Hong Kong
AS4190,Binghamton University
AS4201,Oregon State University
AS4246,New Jersey Institute of Technology
AS4274,Assumption University
AS4385,Rochester Institute of Technology
AS4476,British Columbia Institute of Technology
AS4493,Universidad de Sonora
AS4511,University of Miami
AS4528,The University of Hong Kong
AS4538,China Education and Research Network Center
AS4557,Rice University
AS4604,Houston Independent School District
AS4605,Hong Kong Baptist University
AS4616,The Hong Kong Polytechnic University
AS4665,Yonsei University
AS4730,Osaka University
AS4901,The George Washington University
AS5078,Oklahoma Network for Education Enrichment and
AS5090,ARKANSAS TECH UNIVERSITY
AS5101,The School District of Lee County
AS5379,"Univerzitet """"Sv. Kiril i Metodij"""""
AS5408,National Infrastructures for Research and Technology S.A.
AS5421,"Sofia University """"St. Kliment Ohridski"""""
AS5468,"""Yeltsin UrFU", Ural Federal University"
AS5470,Aristotle University of Thessaloniki
AS5474,TOBB Economics and Technology University
AS5479,Kauno Technologijos Universitetas
AS5480,State Educational institution for High professional e...
AS5489,International Hellenic University
AS5495,Saint Petersburg State University
AS5501,Fraunhofer-Gesellschaft zur Foerderung der angewandte...
AS5520,Universitaet zu Koeln
AS5538,Institute of Mathematics and Computer Science of University of Latvia
AS5550,"""Technical University of Gdansk", Academic Computer Cen..."
AS5553,Federal State Budgetary Educational Institution of Hi...
AS5567,National Research Tomsk Polytechnic University
AS5584,University of Bahrain
AS5601,Kungliga Tekniska Hogskolan
AS5627,Shahrood University of Technology
AS5653,University of California San Francisco
AS5661,UNIVERSITY OF SOUTH FLORIDA
AS5692,Universidad Nacional de La Plata
AS5707,The University of Texas Health Science Center at Houston
AS5708,Universidad Autonoma de Guerrero
AS5721,National Defense University
AS5722,Universidad Nacional de Colombia
AS5723,Johns Hopkins University
AS5739,"""University of California", Santa Cruz"
AS5783,Kern County Superintendent of Schools
AS5786,University of Puerto Rico
AS6059,University System of Maryland
AS6074,Long Island University
AS6106,"""University of California", Riverside"
AS6112,Auburn University
AS6172,Mesa Public Schools
AS6192,"""University of California", Davis"
AS6200,University of Illinois Chicago
AS6325,Illinois Century Network
AS6360,University of Hawaii
AS6366,Portland State University
AS6377,Eugene School District 4J
AS6509,CANARIE Inc
AS6510,Brigham Young University
AS6522,Lehigh University
AS6579,Memorial University of Newfoundland
AS6628,Portland Public Schools
AS6693,Universitatea Bucuresti
AS6711,University of Szeged
AS6736,Institute for Research in Fundamental Sciences
AS6802,Bulgarian Research and Education Network Association (BREN)
AS6807,National Technical University 'Kharkiv Polytechnical ...
AS6832,Daugavpils University
AS6867,University of Crete
AS6868,Federal State Autonomous Educational Institution of H...
AS6874,Perm National Research Polytechnic University
AS6906,SIA Tet
AS7050,University of Wisconsin - Milwaukee
AS7125,Universidad de Monterrey
AS7150,Commonwealth University of Pennsylvania
AS7173,"""Instituto Nacional de Astrofisica", Optica y Electronica"
AS7184,Universidad Veracruzana
AS7202,Florida A & M University
AS7212,Vanderbilt University
AS7236,"""Universidad Regiomontana", A.C."
AS7276,University of Houston
AS7325,Universidad Autonoma De Tamaulipas
AS7377,"""University of California", San Diego"
AS7386,Illinois State University
AS7472,NUS Information Technology
AS7475,The University of Queensland
AS7476,The University of Queensland
AS7497,Computer Network Information Center of Chinese Academ...
AS7509,Hokkaido University
AS7539,National Center for High-performance Computing
AS7560,Jeonbuk National University
AS7575,Australian Academic and Research Network (AARNet)
AS7577,Vocational Training Council Hong Kong
AS7582,University of Macau
AS7610,NUS Gigapop
AS7645,Deakin University
AS7650,The Education University of Hong Kong
AS7651,Lingnan University
AS7774,University of Alaska
AS7860,University of Prince Edward Island
AS7896,The Board of Regents of the University of Nebraska
AS7939,University of Central Florida
AS7965,Universidad Catolica Andres Bello
AS7968,Loyola University Chicago
AS7970,Leon County School District
AS8036,University of Tulsa
AS8067,Westfield State University
AS8094,North West University
AS8111,Dalhousie University
AS8122,Duquesne University
AS8135,Troy University
AS8248,"Computer Technology Institute and Press """"Diophantus"""""
AS8253,Democritus University of Thrace
AS8256,Lodz University of Technology
AS8267,Academic Computer Centre CYFRONET AGH
AS8278,Technical University of Crete
AS8323,Academic Computer Centre CYFRONET AGH
AS8324,South Ural State University
AS8326,Politechnika Bydgoska im. Jana i Jedrzeja Sniadeckich
AS8363,KOC UNIVERSITY
AS8365,Man-da.de GmbH
AS8398,Tver Region Center of Informatization at Tver State U...
AS8441,OOO NPP Garant Service University
AS8456,Bogazici University
AS8466,Ihsan Dogramaci Bilkent University
AS8467,Ihsan Dogramaci Bilkent University
AS8475,Federal State Budgetary Educational Institution of Hi...
AS8501,Institute of Bioorganic Chemistry Polish Academy of S...
AS8508,"""Silesian University of Technology", Computer Centre"
AS8510,Tomsk State University
AS8517,National Academic Network and Information Center
AS8522,Foundation of Research and Technology Hellas
AS8524,AUCEGYPT Autonomous System
AS8581,University Of Ioannina
AS8605,University of Latvia
AS8609,Universidade Catolica Portuguesa
AS8611,Athens University of Economics and Business
AS8617,University of the Aegean
AS8618,Ionion University
AS8630,Fedaral State Educational Institution of higher profe...
AS8633,University of Warsaw
AS8643,NATIONAL AND KAPODISTRIAN UNIVERSITY OF ATHENS
AS8663,Federal State Budgetary Educational Institution of Hi...
AS8664,University of Warsaw
AS8670,University of Sarajevo
AS8684,Federal State Autonomous Educational Institution of H...
AS8719,Dnepropetrovsk National University of Oles Gonchar
AS8762,Hellenic Mediterranean University
AS8790,Federal State Budgetary Educational Institution of Hi...
AS8868,Khallagh Borhan Market Development for Creative Indus...
AS8890,University of Warsaw
AS8909,Federal State Budgetary Educational Institution Of Hi...
AS8941,N. P. Ogarev's Mordovian State University
AS8973,Kungliga Tekniska Hogskolan
AS8981,Federal State Budgetary Educational Institution of Hi...
AS9020,Fraunhofer-Gesellschaft zur Foerderung der angewandte...
AS9041,Russian State Vocational Pedagogical University
AS9088,Dalarna University
AS9111,Relcom HOST LLC
AS9139,University of Cyprus
AS9162,The State Educational Institution of Higher Vocationa...
AS9199,RENAM Public Association
AS9264,Academia Sinica
AS9271,Wonkwang University
AS9317,INHA UNIVERSITY
AS9411,"""Kasetsart University", Thailand"
AS9432,University of Canterbury
AS9433,Massey University
AS9459,Konkuk University
AS9464,Prince of Songkla University (Sritrang'NET)
AS9488,Seoul National University
AS9568,KOREA INSTITUTE OF MACHINERY   MATERIALS (KIMM)
AS9686,SungKyunKwan University (SKKU)
