AS401253,City of Gulfport
AS48925,VibeGAMES B.V.
AS32934,"Facebook, Inc."
AS11749,MPInet
AS153725,Tenonet (Hangzhou) Co Ltd
AS399678,Carrier Corporation
AS399161,"Vercara, LLC"
AS209453,Gandi LiveDNS Anycast
AS714,Apple Inc.
AS7311,Frontier Networks Inc
AS209622,uPress Inc
AS202540,Christopher Stephens
AS34309,Link11 GmbH
AS44421,Yifu Yu
AS25773,RADWARE INC.
AS23145,IBM
AS36232,"Nextgi, LLC."
AS142283,AUSTRALIAN LAMB (COLAC) PTY LTD
AS200201,Tomasz Kepczynski
AS52620,BRASIL NORTE BEBIDAS S/A
AS132203,Tencent
AS4749,WiseTechGlobal Pty Ltd
AS208140,Elm Company PJS
AS44239,proinity GmbH
AS32244,"Liquid Web, L.L.C"
AS7029,Windstream Communications LLC
AS197000,RIPE NCC - Anycast DNS
AS14079,"Radio Toolbox, LLC"
AS212772,AdGuard Software Limited
AS394646,"Eagle Eye Networks, Inc"
AS207021,ipcom GmbH
AS140070,Adelaide Oval SMA Ltd
AS6623,CBS Interactive Inc.
AS19855,"Masergy Communications, Inc."
AS399284,"luYs, Inc."
AS55002,"F5, Inc."
AS15418,Fasthosts Internet Limited
AS4780,Digital United Inc.
AS213625,Xuluo Chen
AS23347,ZYC Network LLC
AS4455,IX Reach Ltd
AS8220,COLT
AS40929,MoeDove
AS26464,"Joyent, Inc."
AS24474,Nepal Internet Exchange NP Anycast
AS205634,Prime Formation GmbH
AS201910,Pragma Security SASU
AS268558,LANLINK INFORMATICA LTDA.
AS214731,ETO Networks Limited
AS43519,Nominet UK
AS394564,Spectrotel Inc
AS48851,Radware Ltd
AS197640,"Overplay, Inc"
AS14877,"FirstLight Fiber, Inc."
AS1149,SURF B.V.
AS10326,Worcester Polytechnic Institute
AS1002,Bytefilter LLC
AS53055,DIMENOC SERVICOS DE INFORMATICA LTDA
AS49959,ReadSpeaker AB
AS260,"GTT Americas, LLC"
AS24445,"Henan Mobile Communications Co.,Ltd"
AS19186,GMCHOSTING LLC
AS57910,"Soluciones Corporativas IP, SL"
AS44709,O.M.C. COMPUTERS & COMMUNICATIONS LTD
AS22702,RingSquared
AS49,National Institute of Standards and Technology
AS216455,Sting Alleman
AS53595,Oshkosh Corporation
AS55967,"Beijing Baidu Netcom Science and Technology Co., Ltd."
AS2149,Cogent - C-root
AS22300,"Wikia, Inc."
AS22649,CodingDirect LLC
AS41992,Si2 Datakonsult HB
AS40806,GrapheneOS Foundation
AS197946,Amnpardaz Soft Corporation
AS20077,IPNetZone
AS237,Merit Network Inc.
AS32133,Ting Fiber Inc.
AS197440,dot IT ccTLD anycast
AS52795,ONE TELECOM TELECOMUNICACOES LTDA
AS149981,Legend Dynasty Pte. Ltd.
AS39588,Mimecast Services Limited
AS16909,imput
AS955,LSHIY LLC
AS10906,Núcleo de Informação e Coordenação do Ponto BR - NIC.BR
AS10779,"StepBroBD, Inc."
AS32338,Hostiserver Ltd
AS23599,Korea Internet Security Agency
AS41095,IPTP LTD
AS139341,WeChat/QQ CDN
AS400519,Developed Methods LLC
AS396073,"Majestic Hosting Solutions, LLC"
AS11802,Centro de Informatica e Automacao do Estado de SC
AS395747,"Cloudflare, Inc."
AS27357,Rackspace Hosting
AS27515,"Workday, Inc."
AS62406,DNScale OU
AS25098,Netcalibre Ltd
AS3215,Orange S.A.
AS210600,"PJSC ""Seligdar"""
AS6507,"Riot Games, Inc"
AS24149,Internet Domain Name System Beijing Engineering Resra...
AS198412,Rage4 Networks Limited
AS30295,Smartt Inc.
AS8674,Netnod AB
AS60217,Beyond.pl sp. z o.o.
AS3561,Lumen (ex. Savvis)
AS36351,IBM Cloud
AS7979,"Servers.com, Inc."
AS53017,REDE NOVO TEMPO DE COMUNICAÇÃO
AS5696,Express Scripts Incorporated
AS133050,CNCNA Pty Ltd
AS7633,Software Technology Parks of India - Bangalore
AS216108,Technology Transfer Intercontinental S.R.L
AS204135,LEMARIT GmbH
AS42465,Forcepoint UK Limited
AS201839,Zaymer PJSC
AS151325,TP Western Odisha Distribution Limited
AS207941,JITEN PATHY
AS401442,Spur Intelligence Corporation
AS59796,StormWall s.r.o.
AS60592,Gransy s.r.o.
AS398291,"Phreesia, Inc."
AS47219,NTT Global Data Centers EMEA UK Ltd.
AS54994,Meteverse Limited
AS58182,Wix.com Ltd.
AS11440,"Netsville, Inc."
AS14717,EZE Castle Integration Inc.
AS202269,BitCommand LLC
AS6185,Apple Inc.
AS54466,"ISSQUARED, Inc."
AS62597,NSONE Inc
AS214575,"Curious Universe (Chongqing) Technology Co., Ltd"
AS393467,BOLT Fiber Optic Services
AS45513,Samespace India Pvt. Ltd.
AS60890,CentralNic Ltd
AS50224,MTRL GROUP LIMITED
AS40627,RingCentral Inc
AS15830,"Equinix, Inc."
AS12008,Vercara (f.k.a Neustar)
AS393818,Tucows.com Co.
AS55195,CIRA Canadian Internet Registration Authority Autorit...
AS210753,Tilda Publishing JSC
AS41717,Telfly Technology Limited
AS250,AS250.net Foundation
AS9327,Hopcount Limited
AS136120,PT Integra Indo Lestari
AS14840,BR.DIGITAL 
AS50069,"Misaka Network, Inc."
AS212294,Basel Al-Sayeh
AS27715,Locaweb Serviços de Internet S/A
AS12996,Domeneshop AS
AS200325,Bunny.net
AS55542,Roads and Maritime Services
AS201589,"""EDGEAM"" LLC"
AS206164,Internet Utilities Europe and Asia Limited
AS20144,ICANN - L-root
AS215691,AP INTERACTIVE SOLUTIONS SL
AS45820,Tata Teleservices ISP
AS29832,Mettler-Toledo LLC
AS48519,Knipp Medien und Kommunikation GmbH
AS42354,ANEXIA Internetdienstleistungs GmbH
AS202687,Mainloop AB
AS44788,Criteo Technology SAS
AS47581,NSFOCUS Technologies UK Limited
AS207414,Ganawa Juanah
AS399561,"Right Connection, Inc."
AS11179,"Aryaka Networks, Inc."
AS14907,Wikimedia Foundation Inc.
AS17012,"PayPal, Inc."
AS47583,Hostinger International Limited
AS48707,AS48707 OPS PL sp. z o.o.
AS32708,LoadEdge Limited
AS42612,DinaHosting S.L.
AS208417,SECUREEND LTD
AS200950,Lyratris Limited
AS215540,GLOBAL CONNECTIVITY SOLUTIONS LLP
AS58811,CONAC (China Organizational Name Administration Center)
AS198301,Workday Limited
AS151361,THE CUBICLEREBELS PTE LTD
AS198734,Bojin Li
AS206042,Suhail Haris
AS148000,National Knowledge Network
AS30219,"Major League Baseball Advanced Media, LP"
AS200393,Klett IT GmbH
AS16050,Refinitiv Limited
AS210550,Andrey Krukover
AS272432,MAGAZINE LUIZA S/A
AS274116,CTV CHICLIN E.I.R.L.
AS38452,Leo Paper Group Manufacturing Limited
AS29997,"Vitalwerks Internet Solutions, LLC"
AS396367,"Canadian Tire Corporation, LTD"
AS30103,"Zoom Video Communications, Inc"
AS395409,Neocities
AS62642,"Bigleaf Networks, Inc."
AS207543,DOWNUNDER GEOSOLUTIONS (LONDON) PTY LIMITED
AS4515,PCCW IMS Ltd (PCCW Business Internet Access)
AS36444,"Liquid Web, L.L.C"
AS56041,China Mobile Group Zhejiang Company
AS214806,Femboy Cyber Networks LLC
AS400196,Netskrt
AS47689,"Pudu, LLC"
AS36692,"Cisco OpenDNS, LLC"
AS11019,"HAProxy Technologies, Inc."
AS9808,China Mobile Backbone
AS199993,Associacao DNS.PT
AS3223,Voxility LLP
AS1647,Interop Technologies
AS21787,CERIDIAN
AS395363,"Infoblox, Inc."
AS135990,Everest Global Joint Stock Company
AS207419,Richard Marino
AS34939,NextDNS
AS269607,SERGIPE MINISTERIO PUBLICO
AS328486,Old Mutual Life Assurance Company (South Africa) Limited
AS13713,Avago Technologies U.S. Inc.
AS25921,LUS Fiber
AS208045,Domeneshop AS
AS205585,Arvan Cloud CDN
AS16276,OVH SAS
AS272809,"THUNDERNET, C.A."
AS40966,ZAO Web Hosting
AS213605,Liu HaoRan
AS18723,Seagate Technology LLC
AS57724,DDOS-GUARD LTD
AS205157,Daniel Cid
AS13649,Flexential Colorado Corp.
