AS10242,US Internet Corp
AS10489,"""Armour Cloud", LLC"
AS10796,Charter Communications Inc
AS10929,eStruxture Data Centers Inc.
AS10961,Boston GigaPoP
AS10996,Concorde inc.
AS11062,MTCO Communications
AS11114,Wintek Corporation
AS11117,"""Nuyek", LLC"
AS11232,Midcontinent Communications
AS11272,C Spire Fiber
AS11351,Charter Communications Inc
AS11403,NYI
AS11404,Wave Broadband
AS11426,Charter Communications Inc
AS11427,Charter Communications Inc
AS11572,PhoenixNAP LLC
AS11796,"""Airstream Communications", LLC"
AS11847,GoNetSpeed
AS11878,"""tzulo", inc."
AS12083,WideOpenWest Finance LLC
AS12093,University of Waterloo
AS12161,"""dao Consulting", LLC"
AS12271,Charter Communications Inc
AS12312,ecotel communication ag
AS12322,Free SAS
AS12338,Euskaltel S.A.
AS12353,Vodafone Portugal - Communicacoes Pessoais S.A.
AS12355,HeLi NET Telekommunikation GmbH & Co.
AS12364,"""University of Macedonia", Economic and Social Sciences"
AS12479,Orange Espagne SA
AS12496,Infinity Developments Limited
AS12508,Rainside s.r.o.
AS12552,GlobalConnect (IP-Only)
AS12586,GHOSTnet GmbH
AS12605,LIWEST Kabelmedien GmbH
AS12709,Melita Limited
AS12731,IPHH Internet Port Hamburg GmbH
AS12735,TurkNet Iletisim Hizmetleri A.S.
AS12874,Fastweb SpA
AS12876,Scaleway
AS12912,T-Mobile Polska S.A.
AS12969,Ljósleiðarinn ehf (Sýn)
AS12989,Black HOST Ltd
AS13000,Leon Sp. z o.o.
AS13022,Streams Telecommunicationsservices GmbH
AS13030,Init7 (Switzerland) Ltd.
AS13036,T-Mobile Czech Republic a.s.
AS13037,Zen Internet Ltd
AS13045,htp GmbH
AS13110,INEA sp. z o.o.
AS13113,ISI Line srl
AS13127,Odido Netherlands B.V.
AS13213,UK-2 Limited
AS13237,euNetworks GmbH
AS13285,TalkTalk Communications Limited
AS13428,"""Surf Air Wireless", LLC"
AS13692,Douglas FastNet
AS13693,Vexus Fiber
AS13868,Peak Internet
AS13977,Fidium
AS14007,Skyway West
AS14061,DigitalOcean LLC
AS14237,Beamspeed LLC
AS14618,"""Amazon.com", Inc."
AS14670,WHG Hosting Services Ltd
AS14868,Ligga Telecomunicações S.A.
AS14956,RouterHosting LLC
AS15435,DELTA Fiber Nederland B.V.
AS15502,Vodafone Ireland Limited
AS15547,netplus.ch SA
AS15600,Quickline AG
AS15614,Dragon Internet a.s.
AS15626,GREEN FLOID LLC
AS15704,XTRA TELECOM S.A.
AS15943,wilhelm.tel GmbH
AS15962,Orange Slovensko a.s.
AS16019,Vodafone Czech Republic a.s.
AS16075,TAZ Verlags- und Vertriebsgesellschaft mit beschraenk...
AS16086,DNA Oyj
AS16097,HL komm Telekommunikations GmbH
AS16125,UAB Cherry Servers
AS16276,OVH SAS
AS16302,Suomi Communications Oy
AS16509,"""Amazon.com", Inc."
AS16591,Google Fiber Inc.
AS16652,Riseup Networks
