AS21556,NASA Ames Research Center - E-root
AS22150,Carrierhouse Corp.
AS22306,eGov Jamaica Limited
AS22548,Núcleo de Informação e Coordenação do Ponto BR - NIC.BR
AS23596,Korea Internet Security Agency
AS23599,Korea Internet Security Agency
AS23600,Korea Internet Security Agency
AS23634,WIDE Project
AS23659,APNIC HEITECH ASN
AS23673,"""Cogetel Online", Cambodia, ISP"
AS23774,"""Japan Registry Service Co.", Ltd."
AS23888,"""National Telecommunication Corporation HQ","
AS23902,Vietnam Internet network information center (VNNIC)
AS23905,Victoria University of Wellington
AS24066,Vietnam Internet Network Information Center
AS24089,Vietnam Internet Network Information Center
AS24149,Internet Domain Name System Beijing Engineering Resra...
AS24151,China Internet Network Infomation Center
AS24252,"""Japan Registry Service Co.", Ltd."
AS24320,"""Railcom - Commercial Center","
AS24390,The University of the South Pacific
AS24406,China Internet Network Infomation Center
AS24409,China Internet Network Infomation Center
AS24439,MARSHALL ISLANDS NTA ISP AS
AS24440,Cyber Internet Services Pakistan
AS24474,Nepal Internet Exchange NP Anycast
AS24691,"""TogoTelecom", Togo"
AS24713,CGI Suomi Oy
AS24722,LLC Babilon-T
AS24757,Ethio telecom
AS24796,NAMEX CONSORZIO
AS24940,Hetzner Online GmbH
AS25019,Saudi Telecom Company JSC
AS25152,RIPE NCC - K-root
AS25192,"""CZ.NIC", z.s.p.o."
AS25354,Entidad Publica Empresarial Red.es
AS25389,Amaliy Aloqalar Biznesi Ltd.
AS25429,CBINET Burundi
AS25543,"""ONATEL (Office National des Telecommunications", PTT)"
AS26617,Navega.com S.A.
AS26710,ICANN
AS27661,Network Information Center México
AS27775,Telecommunicationcompany Suriname - TeleSur
AS28498,Network Information Center México
AS28499,Network Information Center México
AS28500,Network Information Center México
AS28683,SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES
AS29067,Hostmaster LLC
AS29216,Netnod - I-root
AS29256,Syrian Telecommunication Private Closed Joint Stock Company
AS29544,Mauritanian Telecommunication Company
AS30844,Liquid Intelligent Technologies
AS30857,"""Communications", Space & Technology Commission (Saudi ..."
AS30873,Public Telecommunication Corporation
AS30982,CAFE Informatique et telecommunications
AS30985,Orange Mali SA
AS30987,Eritrea Telecommunication Service corporation (EriTel)
AS30990,Djibouti Telecom SA
AS31065,Ministry of Communications and Information Technology
AS31203,Sharq Telekom CJSC
AS31391,Israel Internet Association
AS31492,UZSCINET
AS31529,DENIC eG
