AS33830,Bankalararasi Kart Merkezi AS
AS33867,airBaltic Corporation
AS34156,DB Systel GmbH (German Railway)
AS34403,ING BANK ANONIM SIRKETI
AS34409,Polska Press Sp. z o.o.
AS34417,BluOr Bank
AS34437,CovertHart Networks
AS34478,TUBITAK Ulusal Elektronik ve Kriptoloji Arastirrma En...
AS34535,"""Standart AG", LLC"
AS35036,"Akciju sabiedriba """"RD ALFA"""""
AS35237,Sberbank of Russia PJSC
AS35333,SIA NETVISION
AS35484,"SIA """"ALSO Latvia"""""
AS35574,BRIGHTSTAR LOTTERY S.P.A.
AS35600,Vedege SAS
AS35636,SIA Worldline Latvia
AS35676,La Poste S.A.
AS35734,"SIA """"PNB Print"""""
AS35809,"SIA """"DIVI Grupa"""""
AS35995,Twitter Inc.
AS36385,Google (Corporate Network)
AS36459,"""GitHub", Inc."
AS36599,"""SoftEther Telecommunication Research Institute", LLC"
AS37028,First Rand Bank Limited
AS37497,Network Platforms (PTY) LTD
AS37725,Xyberdata
AS38381,TravelSky Technology Limited
AS38494,PT Bakrie & Brothers Tbk
AS38498,Bank Maybank Indonesia
AS38529,Reliance Industries Limited WAN Backbone Interface wi...
AS38567,PT Rekayasa Industri
AS38846,"""Wolf Feather Culture Information Co.", Ltd."
AS39083,David Froehlich
AS39472,Arion Banki hf
AS39532,Landsbankinn hf
AS39688,"JSC """"OTP BANK"""""
AS39829,Iristel Romania SRL
AS39937,"""LTech Solutions", Ltd."
AS40955,"""Red Hat", Inc."
AS41067,SEB Russia
AS41621,Agencja Reklamowa CzART sp. z o.o.
AS41726,"SIA """"B2 Impact"""""
AS41878,Crosskey Banking Solutions Ab Ltd
AS41960,Nextpertise B.V.
AS41983,Kaspersky Lab Switzerland GmbH
AS42078,XOTEL SIA
AS42663,SIA LATVIJAS TALRUNIS
AS42849,SIA KODO IT (DATALAT)
AS43037,"""Seznam.cz", a.s."
AS43355,GATWICK AIRPORT LIMITED
AS43397,items GmbH & Co. KG
AS43682,SEB Estonia
AS43897,TECE GmbH
AS43956,Latvijas Finieris A/S
AS43973,QIWI JSC
AS44022,Barclays Bank PLC
AS44320,Skandinaviska Enskilda Banken AB
AS44534,YANDEX LLC
AS44595,AO Publishing House Seven Days
AS44644,Árvakur hf
AS44949,Gigacodes GmbH
AS45062,NetEase
AS45131,REANNZ Head Office
AS45314,PT Medco E&P Indonesia
AS45566,Google APAC Corporate Network
AS45736,DCS1 - Lighthouse Canton
AS45748,PIA : Pakistan International Airlines
AS45806,Siam Commercial Bank
AS46022,PT Aliansi Sakti
AS46024,PT Bank Negara Indonesia (Persero) Tbk
AS46644,Social Blade LLC
AS47284,Motor Insurers Bureau of Latvia
AS47446,Barclays Bank lreland PLC
AS47536,PathConnect GmbH
AS47545,Verkís hf
AS47679,GROUPE NEOTECH SAS
AS47764,LLC VK (Mail.ru)
AS47828,Rapyd Europe hf.
AS47941,Red Hat Ltd
AS48070,DSM (GB) Limited
AS48075,S.W.I.F.T. SC
AS48352,LIS Logistische Informationssysteme GmbH
AS48821,Mauve Mailorder Software Verwaltung GmbH
AS48867,Regional Investment Bank
AS48918,Globalways GmbH
AS48927,ESEVEN DevOps GmbH
AS48972,BetterBe B.V.
AS49036,"SIA """"Euro Live Technologies"""""
AS49419,Iver Sverige AB
AS49473,AZV- Südholstein AöR
AS49552,OpenSource Security GmbH
AS49670,Insta DefSec Oy
AS50040,ANO TV NOVOSTI
AS50156,Boxed IT Ltd.
AS50323,LEGO System A/S
AS50485,Belam - Riga SIA
AS50628,Leonix Telecom SAS
AS50731,PRO-9 SIA
AS50807,Inspiretec LTD
AS50845,Verifone Systems France SAS
AS50943,HHLA Hamburger Hafen und Logistik AG
AS51268,Magnetiq Bank
AS51296,Handpoint ehf
AS51335,CELESTE SAS
AS51338,SIA Latvijas Propana gaze
AS51347,ESTERIA (SMS solutions SIA)
AS51405,Voipgate S.A.
AS51610,Signet Bank
AS51625,Turkish Airlines Inc.
AS51735,"""Pernod Ricard Slovenija", Trgovina in storitve, d.o.o."
AS51894,SIA Mikrotīkls / MikroTik
AS51939,Terra Management Consulting Ltd
AS51985,Adenis SAS
AS52004,Lindex Group Oyj
AS52144,MyBit Services BV
AS54115,Facebook (Corporate)
AS54175,WB Games Montreal Inc
AS54528,"""Richie Software USA", Inc."
AS55562,SIX Financial Information Singapore Pte Ltd
AS55966,Post Savings Bank of China
AS56248,PT Indah Kiat Pulp & Paper Tbk
AS56323,Eco Baltia AS
AS56454,Tilde SIA
AS56496,TV 2 Danmark A/S
AS56901,"""ServerKing.io", LLC"
AS56938,MAGNUM MEDICAL SIA
AS56953,N.V. Nederlandse Gasunie
AS56984,ifm electronic GmbH
AS56987,ABACLOUDA SAS
AS57066,Yleisradio Oy
AS57154,Stadtwerke Konstanz GmbH
AS57382,Telecommunication Tokelau Corporation Teletok
AS57630,84 Grams AB
AS57829,IVER
AS57946,RPH Business Support AS
AS58082,Messagenet S.p.A.
AS58182,Wix.com Ltd.
AS58308,Cusae SAS
AS58385,PT Bank Syariah Mandiri
AS58449,PT Nusa Satu Inti Artha
AS58484,PT Pratesis
AS58816,PT Garena Indonesia
AS58921,Capricorn Society Limited
AS59073,Bank of China Limited
AS59339,BLACKBIRD IT PTY LTD
AS59689,CODE40 SAS
AS59807,Swedbank AB
AS59967,SIA EVOLUTION LATVIA
AS60254,GLS IT Services GmbH
AS60284,Axpo Systems AG
AS60318,VSELINK LLC
AS60345,icixs networks GmbH
AS60350,VENTE-PRIVEE.COM SA
AS60436,KBC GLOBAL SERVICES NV
AS60608,Olympic Entertainment Group AS
AS60679,Freedom Registry BV
AS60720,Telenet Solution Ltd
AS61005,OpenTLD BV
AS61007,OpenTLD BV
AS61013,Alliander N.V.
AS61232,redIT Services AG
AS61277,ScienceSoft SIA
AS61977,Path Global UK Limited
AS62058,Belgian Radio-television of the French Community
AS62485,"""ServerKing.io", LLC"
AS62750,Liberty Media Corporation
AS62830,RiotGames
AS62955,"""eBay", Inc"
AS63126,Aptient Consulting Group Inc.
AS63179,Twitter Inc.
AS63294,DigitalFilm Tree LLC
AS63515,Indonesia Network Information Center
AS63593,HeyTap PTE.LTD.
AS63861,PT Aktif Tengah Malam
AS64421,SERTEX (ELEKOP)
AS131659,NETEASE
AS131697,PT Samudera Indonesia Tbk
AS131732,PT Cogindo DayaBersama
AS132164,PT Darta Media Indonesia
AS133116,Kalgoorlie Consolidated Gold Mines
AS133213,TEAM Manufacturing Company Ltd.
AS133843,PT Bank Rakyat Indonesia (Persero) Tbk
AS134220,Lightwire LTD
AS134489,S. B Link Network
AS134544,Cenbong Int'l Holdings Limited
AS134632,PT Lippo Malls Indonesia
AS135441,PT Fasa Centra Artajaya
AS135445,PT Airpay International Indonesia
AS135476,PT Bank Tabungan Pensiunan Nasional
AS135483,PT Wisesa Consulting Indonesia
AS135847,Ioeaccess Communications Private Limited
AS136095,PT Timerindo Perkasa International
